Image	Piece	Links	Code 1	Code 2	Code 3	Code 4	Code 5	Code 6
	Clover	1,2,3,4,5,6	PSCDTPH	TBHCSBH	DTDTTSC	HCHSTDH	BPSSHBC	TSCHHST
	Plus	6	CPHCHDS	BBBBBBB	BBBBBBB	BBBBBBB	BTPPCPH	TPDDTPS
	Diamond	2,4,5	CCHSCSS	BPSSHBC	TSTPDHH	PDDSCCH	BBBBBBB	BBBBBBB
	Blank	2,5	TCPDHBC	BBBDTSH	HSHHPBP	CTHTHCC	CBBCSSC	PBSPSSD
	Blank	1,2,3,5	DDCCSDC	PCPPDCP	CCCDCCS	BBPHPTB	DBDCCBH	BHHDHPH
	Clover	2,3,6	STDSHPT	DSDDHBT	CHPCCST	BBBBBBB	BBBBBBB	PTHBHBB
	Clover	1	TBSHCPH	BTPPCPH	BBBBBBB	BBBBBBB	PPCTSPT	SSPCHCD
	Blank	1,2	TTSSCBC	CPHPPPP	TTPBDBB	DCDSPTD	DBCCCSP	BTBTDPH
	Blank	1,3	SPBDSBB	HHTHHCH	TCBPTSB	STDBCDS	CSPBSDT	THDCBPC
	Blank	3	BCHBHTT	BPCSBBD	PPSBSBP	SPSDPTP	DDPCTHP	SHHPCSD
	Diamond	1	PCBTPPD	HDHSCTP	SSPBCPP	DPSCCDP	SPSPBPS	PPBTSBT
	Blank	6	SHBBHSB	PSHBCSB	BDBCCBB	HPPHCPD	PDBDHBP	PHSBPSS
	Blank	3,5	HPDPTCT	PHCCBTS	TPDPPPP	TPTPBPH	DSTBDBC	HHBHPPP
	Plus	2,3,5	BPHCTTC	DTBSTCC	PHSHSPB	HCSCSST	DSTSHTH	TSSBSHD
	Blank	0	CBBDPCH	HSCCBTT	TBDDHHP	DCSCCSD	BHHBTST	DDTTBHH
	Blank	1,2,4,5	CPSTSTH	SHSBCSH	DDTPTHH	CBDTTCT	TSCCBTS	THSCPPP
	Blank	4,5	CPCHTTB	HTDHCPB	TSDDPHB	HHHBHCS	THDHSHP	HHSDCDT
	Plus	4,6	BBBBBBB	BBBBBBB	BBBBBBB	BPTDSBB	SSTCTDS	BPDBCCS
	Diamond	2,6	SPPHPPH	DHPCHPD	STDPSSH	SCHDPHB	TBHCSBH	TCHDHSB
	Blank	2,3	DPPCPCT	BHTHTHC	BPSPCTS	STCDTBD	DTBTBPH	PHHPPHD
	Blank	1,3,4	BDSTBCH	CBDDPCD	STBHCCC	TBDHSPB	BPDTBTC	SPTPCCP
	Blank	2,4,5,6	DSSSDCP	CPDTHPT	THHCDSH	BHDTBCB	HPBCSCC	HDDBTCC
	Plus	2,5,6	PDTSDCP	STBHHHT	TBPDBDS	BDTPPPD	CSPTDHS	TPCBDDB
	Blank	2,3	SPPBPTD	BBDBSDC	BPCDPPS	PHDHBPS	DHPDTHP	SSBTCDS
	Clover	3	BBBBBBB	BBBBBBB	SBTHPPD	SPPHPPH	SBTSCCB	BBBBBBB
	Snake	4,6	SDTTTBB	HDHSBBH	CDBHSPP	DPCHPDD	SPTDHTS	DDDCSTS
	Snake	6	DSTTCBH	DCHTCBC	HHBSDBS	CPDHPCS	HPPTBSC	BPHSPDH
	Blank	3	DCHCSCH	TPPDDHP	BTTSBTB	DBTDSHS	DBBTSDB	TTTTDCS
	Blank	2	BCDTTHT	HBHSHHH	DDCPPDC	PPPTPSC	HHTPCTP	DTHSSSP
	Snake	2,3,6	BPCDHBS	DTHTPHB	DTCHCDT	BTBDBCH	BHCBCTD	DCSDCBP
	Blank	1,3,6	SHHCHPS	PSCSSCT	HTCCBPH	SDDCCPH	HTCCTBS	PDHPCSD
	Hex	5	DBSPTSD	SSPTTTH	SSPCHCD	HTDBBDD	DSDDHBT	DDDHCDS
	Blank	2,3,6	TDPDTSP	HTDTBCT	HCCTBBC	PDSPDPD	DHSPHPB	PBTTBCB
	Clover	1,4	BDPSPDC	SDBTHHT	BPTDDHH	DHPTDHS	PBDPSBD	CSBSHHD
	Plus	3,5	BBBBBBB	SBHHDHT	SHDSBSB	TBTCBTP	DPSSHHT	CPSHHDH
	Hex	3,5,6	BBBBBBB	BBBBBBB	BPDBCCS	HDPBSDS	DHPCHPD	SBTHPPD
	Snake	6	HDPSDPS	BDCDDTT	HCSCHCP	PSDPSBS	SPDBTDH	TBTCTPB
	Clover	1	DDCTDTC	PBPTTDH	DHDCCHC	TBTBTPB	TCTBCTS	BSSPDHT
	Blank	2,3,5	HCSCSDP	SSTTBDC	CSHDSBH	DTCTTTD	SSCPHBB	BSDBSDC
	Snake	2,3,5	STDSPCP	PSDBPDB	CTSPCSP	TSDCBBC	PSHTHCS	HTDTDSC
	Snake	2,5	BBBBBBB	DHDSPTT	TSCHHST	CCHSCSS	BBBBBBB	BBBBBBB
	Blank	1	PBBSDTC	PSTTHSP	BBDPPBH	PBTDTTT	PSDBTPS	DDSDPPT
	Blank	3	BTCTSTD	HTPPPSS	BPCSPCD	HCCDTPB	CCDCBBD	DPTPTTC
	Blank	3,6	TPDBCTC	PDDBPDD	CPPPPHS	BCHHPSP	SCDTHDP	HHBSTHC
