Screenshot	Center	Holes (0-5)	Link 0	Link 1	Link 2	Link 3	Link 4	Link 5	Status	Who?	Notes								This is a Dupe	Probably an Error	https://tjl.co/corridors-of-time/	Check #verifiers-rules-and-reqs first				
LORE #1	Clover	2	BBBBBBB	BBBBBBB	SBTHPPD	SPPHPPH	SBTSCCB	BBBBBBB	Z Lore		VISIT OUR DISCORD		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			#REF!	#REF!	#REF!	#REF!	#REF!	#REF!
LORE #2	Clover	2,4	BBBBBBB	SBTSCCB	TCHDHSB	PSCDTPH	DHDSPTT	BBBBBBB	Z Lore		https://discord.gg/EsgsCX3		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #3	Hexagon	2,4,5	BBBBBBB	BBBBBBB	BPDBCCS	HDPBSDS	DHPCHPD	SBTHPPD	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #4	Snake	1,4	BBBBBBB	DHDSPTT	TSCHHST	CCHSCSS	BBBBBBB	BBBBBBB	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #5	Diamond	1,5	SPPHPPH	DHPCHPD	STDPSSH	SCHDPHB	TBHCSBH	TCHDHSB	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #6	Plus	3,5	BBBBBBB	BBBBBBB	BBBBBBB	BPTDSBB	SSTCTDS	BPDBCCS	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #7	Clover	4	PSCDTPH	TBHCSBH	DTDTTSC	HCHSTDH	BPSSHBC	TSCHHST	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #8	Plus	2	HDPBSDS	SSTCTDS	TCSTSHH	CHDBPCH	DHHPTHT	STDPSSH	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #9	Diamond	1,3,4	CCHSCSS	BPSSHBC	TSTPDHH	PDDSCCH	BBBBBBB	BBBBBBB	Z Lore				FALSE	FALSE	FALSE	TRUE	FALSE	FALSE			FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
LORE #10	Plus	2,4	SCHDPHB	DHHPTHT	BCTSPBB	DBSPTSD	BHPBDBT	DTDTTSC	Z Lore				FALSE	FALSE	FALSE	TRUE	FALSE	FALSE			FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
LORE #11	Hexagon	0,4,5	BPTDSBB	BBBBBBB	BBBBBBB	CPHCHDS	TCTCBDC	TCSTSHH	Z Lore				FALSE	FALSE	TRUE	TRUE	FALSE	FALSE			FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
LORE #12	Snake	1,4	HCHSTDH	BHPBDBT	DDDHCDS	STDSHPT	TCHPBBP	TSTPDHH	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #13	Hexagon	1,2,3,5	CHDBPCH	TCTCBDC	TPDDTPS	TBSHCPH	SSPTTTH	BCTSPBB	Z Lore				TRUE	FALSE	FALSE	FALSE	FALSE	FALSE			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #14	Clover	0,1,2	PDDSCCH	TCHPBBP	PTHBHBB	BBBBBBB	BBBBBBB	BBBBBBB	Z Lore				TRUE	FALSE	FALSE	FALSE	FALSE	FALSE			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #15	Hexagon	4	DBSPTSD	SSPTTTH	SSPCHCD	HTDBBDD	DSDDHBT	DDDHCDS	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #16	Plus	5	CPHCHDS	BBBBBBB	BBBBBBB	BBBBBBB	BTPPCPH	TPDDTPS	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
LORE #17	Clover	1,2,5	STDSHPT	DSDDHBT	CHPCCST	BBBBBBB	BBBBBBB	PTHBHBB	Z Lore				FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
