URL	Center	Sides Open	Side 1	Side 2	Side 3	Side 4	Side 5	Side 6	Used on Map	has match	
https://cdn.discordapp.com/attachments/666873697763590144/666874515699269653/20200114234957_1.jpg	Snake	5,6	PDHSCSB	CSPHPBH	CCHTDHB	DHPCCSB	TDTTBTS	PTCCPSD		outer edge	
https://cdn.discordapp.com/attachments/666873697763590144/666879732331184148/unknown.png	Clover	2	DTCBHBT	TDBBSBB	HHDSTSS	SSHHPCT	BBBCTPB	SBCSSCT		duplicate	SPECIAL
https://cdn.discordapp.com/attachments/666873697763590144/666880552384856065/Destiny_2_Screenshot_2020.01.15_-_05.37.38.81.png	Hexagon	2,5	PTPSSCP	BTSTHPS	HPBBDSH	HTTPBPB	TSSSBCT	HHBSDBS		Number of Unique Hexagons 	
https://media.discordapp.net/attachments/425502020464803854/666883097848971275/unknown.png?width=1205&height=677	Snake	3,5	BDPSDCH	TSDBCTH	PHCHBPT	CPCHSSD	PCTBPBC	BPTBSDS		1633	
https://cdn.discordapp.com/attachments/666873697763590144/666882490291716097/Destiny_2_Screenshot_2020.01.15_-_16.52.37.79.png	Hexagon	5	DPBPBCH	HBSPDDS	TBTBPSP	BCHDBBH	CCTDTPC	THCHCCC			
https://cdn.discordapp.com/attachments/666872924967403550/666878785773240341/Destiny_2_Screenshot_2020.01.15_-_13.37.40.24.png	Clover	5	BCHDBBH	BCPTDPD	PBDHDCS	DHPCBBP	HDPSPBS	CBTCSHT			
http://prntscr.com/qoowy8	Snake	2	HSTTHHD	BBHDBTS	BHDDBHT	DTPBPSS	SHSDTCT	BHBCBHT			
https://cdn.discordapp.com/attachments/666951769779339264/667076768070631425/unknown.png	Diamond	2,6	TDCPBCP	HTPDHHP	HDCDBBT	SCPSTSS	PSCCCTB	CCTHBTT			
https://drive.google.com/open?id=1h6xB0woQbw3Zt9-pBS0WzUl_26FUDjYq	Diamond	3	THPSHDP	DCBPBPDB	PBPCDDC	DBPTSSB	SDTSSBH	CPSCTPC			
https://cdn.discordapp.com/attachments/374468920897175552/666870723024912384/Destiny_2_Screenshot_2020.01.14_-_21.05.54.09.png	Snake	1	DCCHHDC	BHBSDPB	CSTSTBS	PSHPDBH	PCHPBSP	HBDDHTP			
http://prntscr.com/qooykt	Blank	1,2,4	CBCBTHD	STBTTPD	PHPTSPH	HBSDHBS	BBBBBBB	BBBBBBB	YES		
https://cdn.discordapp.com/attachments/639741684019625984/666903526294683659/reveal_2.JPG	Hexagon	4	THDHTHH	TBTTPCP	CHSBPHC	HSDBSBD	BBBBBBB	BBBBBBB			
http://prntscr.com/qop137	Blank	5	SHTTBBD	PHHSHTT	CBCHDHS	BPDBHTT	BBCSDSH	BPSSHBC			
https://cdn.discordapp.com/attachments/378009570565423106/666898968613093386/unknown.png	Clover	6	PBTPCDS	CSHCCHP	HSBCBHB	SSCHTHH	SBSCDDS	BTSPSHS			
https://cdn.discordapp.com/attachments/598931787087085571/666870605508902942/unknown.png	Plus	2,5	CHDTTPP	SSTCBPS	TSTDHDD	PPTHBTH	SBDHPDP	DHBPCBH			
https://cdn.discordapp.com/attachments/666873697763590144/666886955359010866/hex0.PNG	Hexagon	3	HBHCBDS	THCSCHS	TTPCDPH	SHBTHSS	DDHPPHC	SCCPDPP			
http://prntscr.com/qop2u6	Blank	3	HHCPCPH	SDBDSTB	HTTHHTP	THPSHDB	DHTSPHC	DPBHHSS			
https://cdn.discordapp.com/attachments/558092952526913558/666866826877075487/SPOILER_unknown.png	Diamond	3	PCHDSBS	SPPHHDB	TPBBPST	SSCPPDP	PCHCCTD	SPHSHHS			
https://i.imgur.com/VuS0EzH.jpg	Hexagon	2	CCTSHBT	DPCPSTC	HPCSSDS	TDTHHCP	DPSTPDC	PCHDSBB			
https://cdn.discordapp.com/attachments/666867869510008852/666870561393082369/Final2.PNG	Plus	6	SPTTTCT	PHTSHDB	BSSSBSS	PHBHSTC	DDBSHHD	TPBPDTD			
https://media.discordapp.net/attachments/666867869510008852/666884552572010506/unknown.png	Diamond	2,4	CSTTSCC	THSCTCB	SHSHSBD	TSCSHSH	DBTSCHB	BCSTHPB			
https://cdn.discordapp.com/attachments/666873697763590144/666873838109196289/Destiny_2_Screenshot_2020.01.14_-_23.52.44.16.png	Diamond	2,5	STTTHPT	CHBBSTS	SDTBCTB	BDCBCBC	TCSHCTC	SBBTBPT			
											
https://imgur.com/a/P366zQR	Diamond	2,5	DCPPDDP	PTCHDSD	DPPBPBH	DHPTCDP	BPSTHPH	HSHTSHS			
https://cdn.discordapp.com/attachments/666871092014743573/666891931246395392/unknown.png	Clover	1,4	CDPSPDB	THHTBDS	HHDDTPB	SHDTPHD	DBSPDBP	DHHSBSC			
https://cdn.discordapp.com/attachments/666871092014743573/666893527841767444/unknown.png	Plus	1,3	SPSSCPC	BPSCSPH	SHSPSTB	BPCBPPS	BBBBBBB	BBBBBBB			
https://cdn.discordapp.com/attachments/666871092014743573/666900458530668545/unknown.png	Snake	2,5	SBBBPDB	HSTSTHT	CTTDPPS	BCBSPSH	HSBBCDB	BTSBTTT			
https://cdn.discordapp.com/attachments/666873697763590144/666910027956748303/e845e4e630.png	HEX	1,2,4	HCPSTSS	DCPDSHC	BCHBDDC	BPDPSPD	PSBBTHH	TCTHTCD	YES		
											
https://cdn.discordapp.com/attachments/666871092014743573/666901077102297109/unknown.png	Hexagon	1,4,5	BHSSHTS	HPDHBSH	SBDCSTH	PCHSPCD	HHTCCHS	CBSTHBT			
https://cdn.discordapp.com/attachments/666951769779339264/666976735526518804/unknown.png	Plus	2	BHPCBSS	DBBBCSC	DCBPDBC	SHTDCTB	THCBSPB	PPSPDHC			
https://cdn.discordapp.com/attachments/666873697763590144/666912524574130177/warlock_11pm.jpg	Diamond	3,4,5,6	SSTPTCD	BBTDSPD	PCSPCPT	CBBTBTC	CPTSCHB	TPBSDPB			
http://prntscr.com/qop509	Hex	4	TDDHBHB	BBBBBBB	BBBBBBB	DTCHTDH	CDHPHDH	CTPHTTC			
https://cdn.discordapp.com/attachments/666872924967403550/666901342631100416/unknown.png	Clover	1,4	PCCTDSS	BTBSPTH	STTDSCT	SCTDTDS	PPDTCPC	BPTBPPS			
https://cdn.discordapp.com/attachments/666951769779339264/667004651362844672/DOOIE4.jpg	SNAKE	3,5,6	DHPCBBP	CTTPDDC	STHHSBT	HBSTTBH	CCSCCDH	SBBBCCB			
