--	Center	Openings	Link1	Link2	Link3	Link4	Link5	Link6	Status	Checksum
Clover	5	PSCDTPH	TBHCSBH	DTDTTSC	HCHSTDH	BPSSHBC	TSCHHST	OG LORE	PSCDTPHTBHCSBHDTDTTSCHCHSTDHBPSSHBCTSCHHST
Diamond	2,4,5	CCHSCSS	BPSSHBC	TSTPDHH	PDDSCCH	BBBBBBB	BBBBBBB	OG LORE	CCHSCSSBPSSHBCTSTPDHHPDDSCCHBBBBBBBBBBBBBB
Plus	6	CPHCHDS	BBBBBBB	BBBBBBB	BBBBBBB	BTPPCPH	TPDDTPS	OG LORE	CPHCHDSBBBBBBBBBBBBBBBBBBBBBBTPPCPHTPDDTPS
Clover	3	BBBBBBB	BBBBBBB	SBTHPPD	SPPHPPH	SBTSCCB	BBBBBBB	OG LORE	BBBBBBBBBBBBBBSBTHPPDSPPHPPHSBTSCCBBBBBBBB
Clover	1,2,3	PDDSCCH	TCHPBBP	PTHBHBB	BBBBBBB	BBBBBBB	BBBBBBB	OG LORE	PDDSCCHTCHPBBPPTHBHBBBBBBBBBBBBBBBBBBBBBBB
Clover	1	TBSHCPH	BTPPCPH	BBBBBBB	BBBBBBB	PPCTSPT	SSPCHCD	OG LORE	TBSHCPHBTPPCPHBBBBBBBBBBBBBBPPCTSPTSSPCHCD
Plus	3,5	SCHDPHB	DHHPTHT	BCTSPBB	DBSPTSD	BHPBDBT	DTDTTSC	OG LORE	SCHDPHBDHHPTHTBCTSPBBDBSPTSDBHPBDBTDTDTTSC
Hex	2,3,4,6	CHDBPCH	TCTCBDC	TPDDTPS	TBSHCPH	SSPTTTH	BCTSPBB	OG LORE	CHDBPCHTCTCBDCTPDDTPSTBSHCPHSSPTTTHBCTSPBB
Clover	2,3,6	STDSHPT	DSDDHBT	CHPCCST	BBBBBBB	BBBBBBB	PTHBHBB	OG LORE	STDSHPTDSDDHBTCHPCCSTBBBBBBBBBBBBBBPTHBHBB
Plus	3	HDPBSDS	SSTCTDS	TCSTSHH	CHDBPCH	DHHPTHT	STDPSSH	OG LORE	HDPBSDSSSTCTDSTCSTSHHCHDBPCHDHHPTHTSTDPSSH
Snake	2,5	HCHSTDH	BHPBDBT	DDDHCDS	STDSHPT	TCHPBBP	TSTPDHH	OG LORE	HCHSTDHBHPBDBTDDDHCDSSTDSHPTTCHPBBPTSTPDHH
Hex	3,5,6	BBBBBBB	BBBBBBB	BPDBCCS	HDPBSDS	DHPCHPD	SBTHPPD	OG LORE	BBBBBBBBBBBBBBBPDBCCSHDPBSDSDHPCHPDSBTHPPD
Clover	3,5	BBBBBBB	SBTSCCB	TCHDHSB	PSCDTPH	DHDSPTT	BBBBBBB	OG LORE	BBBBBBBSBTSCCBTCHDHSBPSCDTPHDHDSPTTBBBBBBB
Plus	4,6	BBBBBBB	BBBBBBB	BBBBBBB	BPTDSBB	SSTCTDS	BPDBCCS	OG LORE	BBBBBBBBBBBBBBBBBBBBBBPTDSBBSSTCTDSBPDBCCS
Hex	5	DBSPTSD	SSPTTTH	SSPCHCD	HTDBBDD	DSDDHBT	DDDHCDS	OG LORE	DBSPTSDSSPTTTHSSPCHCDHTDBBDDDSDDHBTDDDHCDS
Diamond	2,6	SPPHPPH	DHPCHPD	STDPSSH	SCHDPHB	TBHCSBH	TCHDHSB	OG LORE	SPPHPPHDHPCHPDSTDPSSHSCHDPHBTBHCSBHTCHDHSB
Hex	1,5,6	BPTDSBB	BBBBBBB	BBBBBBB	CPHCHDS	TCTCBDC	TCSTSHH	OG LORE	BPTDSBBBBBBBBBBBBBBBBCPHCHDSTCTCBDCTCSTSHH
Plus	6	HTDBBDD	PPCTSPT	BBBBBBB	BBBBBBB	BBBBBBB	CHPCCST	OG LORE	HTDBBDDPPCTSPTBBBBBBBBBBBBBBBBBBBBBCHPCCST
Snake	2,5	BBBBBBB	DHDSPTT	TSCHHST	CCHSCSS	BBBBBBB	BBBBBBB	OG LORE	BBBBBBBDHDSPTTTSCHHSTCCHSCSSBBBBBBBBBBBBBB
Blank	5	BBBBBBB	BBBBBBB	BHSHDBP	DBSDPBS	HDSTHHT	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBBHSHDBPDBSDPBSHDSTHHTBBBBBBB
Blank	3	BBBBBBB	BBBBBBB	BTBDTCS	CDHCPTT	HTHDTTS	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBBTBDTCSCDHCPTTHTHDTTSBBBBBBB
Blank	2,5	BBBBBBB	BBBBBBB	CHBDBCD	HTSCBBP	CBPDHHC	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBCHBDBCDHTSCBBPCBPDHHCBBBBBBB
Blank	4	BBBBBBB	BBBBBBB	CHBSCDT	HHBSPHC	DSTDCPS	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBCHBSCDTHHBSPHCDSTDCPSBBBBBBB
Blank	3,5	BBBBBBB	BBBBBBB	CHSHTDD	BBCCSPH	HTCSHBS	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBCHSHTDDBBCCSPHHTCSHBSBBBBBBB
Blank	4	BBBBBBB	BBBBBBB	CPCHSCH	SDHCPCD	CTBPHCT	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBCPCHSCHSDHCPCDCTBPHCTBBBBBBB
Blank	5	BBBBBBB	BBBBBBB	DDCSSDC	SPHTBPH	TBPSPDS	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBDDCSSDCSPHTBPHTBPSPDSBBBBBBB
Blank	3,5	BBBBBBB	BBBBBBB	DPCDDDP	TCTTSBH	SPDPCDC	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBDPCDDDPTCTTSBHSPDPCDCBBBBBBB
Blank	3	BBBBBBB	BBBBBBB	PCDPBHC	BSPPTHT	CTPSBTT	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBPCDPBHCBSPPTHTCTPSBTTBBBBBBB
